111,108,108,111,108,109,110,108,109,111,108,109,110,108,109,110,108,109,110,111,108,108,111,108,109,111,108,109,110,108,109,110,108,109,110,108,109,110,108,111
113,128,114,111,114,115,116,114,115,111,114,115,116,114,115,116,114,115,116,111,114,114,111,114,115,111,114,115,116,114,115,116,114,115,116,114,115,116,114,112
113,130,131,108,140,129,130,130,131,111,138,139,140,138,139,140,138,139,140,111,129,130,111,131,140,111,138,141,143,138,139,140,129,130,130,131,129,131,139,112
113,132,137,114,139,141,142,142,143,111,129,130,130,130,130,130,130,130,131,111,135,132,109,137,129,111,129,130,131,139,140,138,135,132,136,137,141,143,138,112
113,136,137,140,129,130,108,109,110,108,109,110,111,108,109,110,108,136,137,111,135,136,115,137,135,108,109,110,108,109,110,108,109,110,132,137,111,111,111,111
113,132,137,140,135,136,114,115,116,114,115,116,111,114,115,116,114,132,137,111,135,132,136,137,141,114,115,116,114,115,116,114,115,116,136,137,111,140,140,112
113,142,143,140,135,132,137,135,133,134,132,137,111,135,132,136,132,136,137,108,135,136,132,137,138,139,140,138,139,140,138,139,141,142,142,143,111,131,138,112
113,139,140,139,141,142,143,135,136,132,136,137,111,141,142,142,142,142,143,114,141,142,142,143,129,130,130,130,130,130,130,131,140,129,131,138,110,137,140,112
111,108,109,110,108,108,111,135,136,108,109,110,108,109,110,108,111,131,129,130,130,131,108,109,110,108,109,110,108,109,111,137,139,111,137,140,116,137,139,112
113,114,115,116,114,114,109,135,132,114,115,116,114,115,116,114,108,143,141,142,142,143,114,115,116,114,115,116,114,115,111,137,138,111,137,139,141,143,138,112
113,135,133,134,132,137,115,135,132,136,133,134,137,138,139,117,114,130,131,138,139,140,135,133,134,137,138,129,130,131,111,143,140,109,143,138,138,139,140,112
113,135,136,132,136,137,138,141,142,142,142,142,143,140,139,138,135,136,137,138,139,140,135,136,132,137,139,135,136,137,111,138,139,115,138,139,140,140,118,112
113,141,142,142,142,143,138,139,140,138,139,140,138,138,139,140,141,142,143,138,139,140,135,136,136,137,140,141,142,143,111,129,130,131,129,131,108,109,110,111
111,108,109,110,139,140,108,109,110,111,139,129,110,108,109,110,108,109,110,111,138,139,141,142,142,143,138,111,108,109,110,135,132,137,141,143,114,115,116,112
113,114,115,116,138,139,114,115,116,111,140,141,116,114,115,116,114,115,116,111,139,129,130,130,130,130,131,111,114,115,116,135,136,137,129,130,130,131,140,112
113,117,139,140,129,130,131,138,139,111,138,139,140,138,139,140,138,139,140,111,140,135,132,136,132,136,137,111,130,131,138,135,132,137,141,142,142,143,138,112
